market,interval,snapshot0,snapshot1,listing_id,init_u,reopened
belize,3,2026-03-30,2026-06-29,918112998472672803,13,0
belize,3,2026-03-30,2026-06-29,918113013920584638,35,8
belize,3,2026-03-30,2026-06-29,918113164476999649,35,6
belize,3,2026-03-30,2026-06-29,922568547649995361,16,0
belize,3,2026-03-30,2026-06-29,937609612912252003,52,0
belize,3,2026-03-30,2026-06-29,958681704812324785,34,10
belize,3,2026-03-30,2026-06-29,989202066725188946,11,7
belize,3,2026-03-30,2026-06-29,1007892389927592300,10,1
belize,3,2026-03-30,2026-06-29,1008598576150917386,52,2
belize,3,2026-03-30,2026-06-29,1016824116092298167,22,5
belize,3,2026-03-30,2026-06-29,1021798144626543282,27,6
belize,3,2026-03-30,2026-06-29,1024906990122533862,27,7
belize,3,2026-03-30,2026-06-29,1051617365976926801,42,4
belize,3,2026-03-30,2026-06-29,1080056811499024939,5,0
belize,3,2026-03-30,2026-06-29,1092781891182804956,15,1
belize,3,2026-03-30,2026-06-29,1094394214360615365,37,0
belize,3,2026-03-30,2026-06-29,1102265833829302039,9,0
belize,3,2026-03-30,2026-06-29,1109413513081726251,20,13
belize,3,2026-03-30,2026-06-29,1109450642083447718,14,0
belize,3,2026-03-30,2026-06-29,1117591019744246169,7,0
belize,3,2026-03-30,2026-06-29,1142311654855100127,8,0
belize,3,2026-03-30,2026-06-29,1144943802126677845,1,0
belize,3,2026-03-30,2026-06-29,1154552181574300224,20,0
belize,3,2026-03-30,2026-06-29,1167335034637135470,3,0
belize,3,2026-03-30,2026-06-29,1167335062912260419,3,0
belize,3,2026-03-30,2026-06-29,1182614882806000086,7,7
belize,3,2026-03-30,2026-06-29,1184912107206660549,3,0
belize,3,2026-03-30,2026-06-29,1206333999917298016,9,0
belize,3,2026-03-30,2026-06-29,1222539874872094282,7,0
belize,3,2026-03-30,2026-06-29,1244206804781124566,10,2
belize,3,2026-03-30,2026-06-29,1247887937288254045,24,0
belize,3,2026-03-30,2026-06-29,1269738355640234236,8,8
belize,3,2026-03-30,2026-06-29,1271002875093460274,91,0
belize,3,2026-03-30,2026-06-29,1277583055551411547,11,0
belize,3,2026-03-30,2026-06-29,1294324801214580863,6,1
belize,3,2026-03-30,2026-06-29,1296498881666459709,15,0
belize,3,2026-03-30,2026-06-29,1298017714359360870,17,0
belize,3,2026-03-30,2026-06-29,1305396303541291714,7,0
belize,3,2026-03-30,2026-06-29,1313358846294407283,2,1
belize,3,2026-03-30,2026-06-29,1313943839293225717,21,10
belize,3,2026-03-30,2026-06-29,1318146687577372859,10,0
belize,3,2026-03-30,2026-06-29,1342689881365834362,11,0
belize,3,2026-03-30,2026-06-29,1345159029842382427,56,7
belize,3,2026-03-30,2026-06-29,1365434930136441008,138,21
belize,3,2026-03-30,2026-06-29,1365437469930024692,138,21
belize,3,2026-03-30,2026-06-29,1399459469630476705,7,0
belize,3,2026-03-30,2026-06-29,1399459470551161159,20,1
belize,3,2026-03-30,2026-06-29,1409347255037502714,3,3
belize,3,2026-03-30,2026-06-29,1465500845204958172,37,0
belize,4,2026-06-29,2026-08-31,419134,5,0
belize,4,2026-06-29,2026-08-31,736308,4,0
belize,4,2026-06-29,2026-08-31,985520,43,6
belize,4,2026-06-29,2026-08-31,1187309,10,0
belize,4,2026-06-29,2026-08-31,2751904,13,1
belize,4,2026-06-29,2026-08-31,2811841,34,0
belize,4,2026-06-29,2026-08-31,3594049,92,36
belize,4,2026-06-29,2026-08-31,3704445,58,3
belize,4,2026-06-29,2026-08-31,4333646,17,0
belize,4,2026-06-29,2026-08-31,4774977,14,14
belize,4,2026-06-29,2026-08-31,4974742,62,0
belize,4,2026-06-29,2026-08-31,8500000,22,0
belize,4,2026-06-29,2026-08-31,9597407,29,10
belize,4,2026-06-29,2026-08-31,9848776,9,0
belize,4,2026-06-29,2026-08-31,11635188,36,0
belize,4,2026-06-29,2026-08-31,12725571,56,0
