gap_days,months_before_early_dump,n_pairs,median_ratio,mean_ratio,pooled_ratio,den
296,4,1,0.8924958833215714,0.8924958833215714,0.8924958833215714,4251
296,5,1,0.8936480186480187,0.8936480186480187,0.8936480186480187,3432
296,6,1,0.875965250965251,0.875965250965251,0.875965250965251,2072
296,7,1,0.8730711796913887,0.8730711796913887,0.8730711796913887,2009
296,8,1,0.8819581523884722,0.8819581523884722,0.8819581523884722,2533
300,0,1,1.182569317549853,1.182569317549853,1.182569317549853,25174
300,1,1,0.8671384654796978,0.8671384654796978,0.8671384654796978,31228
300,2,1,0.8629559150015857,0.8629559150015857,0.8629559150015857,31530
300,3,1,0.859197919154922,0.859197919154922,0.859197919154922,37677
300,4,1,0.8615034815972715,0.8615034815972715,0.8615034815972715,35185
300,5,1,0.8595491180936806,0.8595491180936806,0.8595491180936806,42805
300,6,1,0.8720447572640317,0.8720447572640317,0.8720447572640317,33246
300,7,1,0.8612376167895206,0.8612376167895206,0.8612376167895206,42598
300,8,1,0.8729037952338923,0.8729037952338923,0.8729037952338923,24926
303,-1,4,431.06030701754383,1428.8834143783372,147.34317343173433,542
303,0,25,1.0740964461894695,1.1473414042883945,1.0864948871570792,221990
303,1,25,0.8891710041894122,0.867158220321255,0.872289671085856,243559
303,2,25,0.894315971471796,0.871258389536013,0.8747912224591329,225120
303,3,25,0.9062229904926534,0.8748800183482749,0.8763226213501857,193366
303,4,25,0.9026407041877834,0.8750947287522116,0.8751155043283727,164496
303,5,25,0.9008330027766759,0.8792318836560143,0.8682211409656985,115709
303,6,25,0.9025458527237886,0.8755322492445192,0.8653862744252254,92732
303,7,25,0.9035153328347045,0.8747075556543186,0.8627234740026508,98837
303,8,25,0.8976897689768977,0.8715483022465297,0.8564125913201847,96638
304,0,13,1.0581643999657857,1.091438123432757,1.093580919298697,139911
304,1,13,0.8322584533783377,0.832377356919256,0.8407639348528305,176769
304,2,13,0.8256073039508722,0.8322042285982915,0.8439297943579779,157993
304,3,13,0.8371220863143318,0.837023590943316,0.849962816471316,151949
304,4,13,0.8290500666285932,0.8394867853543282,0.8553070287928078,148162
304,5,13,0.829802669762043,0.8451188283356534,0.858085681797228,130156
304,6,13,0.834849545136459,0.8427211371207013,0.857681986705986,105461
304,7,13,0.8355788992920758,0.8451234052158554,0.8565174639818733,116955
304,8,13,0.8363732487443828,0.8463474384367634,0.855849642963144,114554
305,0,14,1.264938313085884,1.2515139824900905,1.2387281600293143,60039
