vintage_date,line,spec,n_obs,g,b,b_imposed,c_mix,flags,c_event_E02_cor_cash,c_event_E09_cor_cash,c_event_E05_ops_cash,c_event_E10_pd_cash
2026-05-07,ops,b_elastic_rw,17,-0.005926783342048906,0.7599654306556612,False,,,,,,
2026-05-07,pd,b_elastic_rw,17,0.11731165034372794,,False,,,,,,
2026-05-07,sm,b_elastic_rw,17,0.15331941121988216,0.405188222731288,False,,,,,,
2026-05-07,ga,b_elastic_rw,17,0.08168205844249544,,False,,,,,,
2026-08-06,cor,b_elastic_rw,18,0.013782765949400895,0.8097427582503111,False,,,,,,
2026-08-06,ops,b_elastic_rw,18,-0.01041656266378585,0.763976667623893,False,,,,,,
2026-08-06,pd,b_elastic_rw,18,0.11811494904165838,,False,,,,,,
2026-08-06,sm,b_elastic_rw,18,0.15471252960338322,0.4184799156650235,False,,,,,,
2026-08-06,ga,b_elastic_rw,18,0.05606379646512878,,False,,,,,,
full_sample,cor,b_elastic_eq,18,0.02748561909800589,0.721860380012829,False,,,,,,
full_sample,ops,b_elastic_eq,18,0.018297462004147332,0.6168562408248585,False,,,,,,
full_sample,pd,b_elastic_eq,18,0.10592106181903194,,False,,,,,,
full_sample,sm,b_elastic_eq,18,0.1306599758104438,0.4098346657311941,False,,,,,,
full_sample,ga,b_elastic_eq,18,0.09637179951062314,,False,,,,,,
2022-02-15,cor,b_elastic_eq,4,-0.036942962773021316,0.4571725234797357,False,,added_2021_obs,,,,
2022-02-15,ops,b_elastic_eq,4,-0.03260721158885575,0.2531513220784015,False,,added_2021_obs,,,,
2022-02-15,pd,b_elastic_eq,4,0.010778725659283058,,False,,added_2021_obs,,,,
2022-02-15,sm,b_elastic_eq,4,-0.11631450341324966,0.9228882316838218,False,,added_2021_obs,,,,
2022-02-15,ga,b_elastic_eq,4,-0.05817846483486999,,False,,added_2021_obs,,,,
2022-05-03,cor,b_elastic_eq,5,0.01825007481054153,0.42205948450359093,False,,added_2021_obs,,,,
2022-05-03,ops,b_elastic_eq,5,0.0008278193271836562,0.24861000324373278,False,,added_2021_obs,,,,
2022-05-03,pd,b_elastic_eq,5,0.03078617260692478,,False,,added_2021_obs,,,,
